user_id,age,income_monthly,expenses_monthly,goal_type,goal_amount,goal_years,risk_profile,preferred_investments,marital_status,dependents,employment_type,investment_experience,location_tier,time_until_retirement,emergency_fund,current_assets,savings_monthly,can_invest,predicted_sip,allocation_mutual_funds,allocation_gold,allocation_fd
1,50,118694,77886,education,410268,3,low,"fd,mutual_funds",single,2,salaried,none,Tier 2,10,11265,1620006.0,40808,True,11396,3418,3418,4560
2,32,102498,72072,bike,76023,1,low,"real_estate,mutual_funds",single,1,self-employed,none,Tier 1,28,69820,1816891.0,30426,True,6335,1900,1900,2535
3,51,20311,15177,education,484779,4,low,"gold,stocks",single,1,salaried,expert,Tier 3,9,76932,1357371.0,5134,True,5134,1540,1540,2054
4,46,145608,84987,wedding,1933257,5,low,"gold,stocks",married,1,self-employed,none,Tier 1,14,89654,2004354.0,60621,True,32220,9666,9666,12888
5,24,84092,51518,retirement,13959014,27,medium,"real_estate,gold",married,3,salaried,expert,Tier 1,36,13792,3435659.0,32574,True,32574,16287,6514,9773
6,35,189073,95787,wedding,568148,4,medium,"mutual_funds,real_estate",married,3,salaried,beginner,Tier 2,25,28483,4106518.0,93286,True,11836,5918,2367,3551
7,29,125510,57819,wedding,960337,4,high,"mutual_funds,stocks",married,1,business,intermediate,Tier 2,31,82189,3960197.0,67691,True,20007,14004,2000,4003
8,25,186829,76779,wedding,1489913,4,medium,"fd,mutual_funds",single,1,salaried,expert,Tier 2,35,97093,3819315.0,110050,True,31039,15519,6207,9313
9,35,178678,129122,retirement,13973639,23,high,"real_estate,fd",married,2,self-employed,expert,Tier 2,25,96387,1361736.0,49556,True,49556,34689,4955,9912
10,42,38247,25302,car,1007086,2,low,"mutual_funds,gold",single,3,self-employed,expert,Tier 1,18,17185,1817640.0,12945,True,12945,3883,3883,5179
11,50,66214,30315,retirement,3048984,16,low,"real_estate,gold",married,0,business,expert,Tier 1,10,67592,,35899,True,15880,4764,4764,6352
12,45,194262,133149,bike,99504,2,medium,"real_estate,gold",married,2,business,none,Tier 1,15,66858,2159818.0,61113,True,4146,2073,829,1244
13,26,149633,78626,car,1028776,5,medium,"gold,mutual_funds",single,2,salaried,intermediate,Tier 2,34,13392,1129111.0,71007,True,17146,8573,3429,5144
14,33,128569,55720,retirement,18593974,14,high,"real_estate,gold",single,2,self-employed,expert,Tier 1,27,89651,3652279.0,72849,True,72849,50994,7284,14571
15,43,39538,23581,education,791234,3,medium,"stocks,fd",married,2,business,intermediate,Tier 1,17,84309,4428368.0,15957,True,15957,7978,3191,4788
16,26,113806,76231,car,1015270,4,medium,"mutual_funds,fd",single,0,business,expert,Tier 3,34,5206,172409.0,37575,True,21151,10575,4230,6346
17,34,65015,40487,car,1274371,3,low,"real_estate,stocks",single,0,salaried,beginner,Tier 1,26,76910,1023548.0,24528,True,24528,7358,7358,9812
18,36,179899,131326,retirement,5959034,28,medium,"mutual_funds,real_estate",married,1,business,beginner,Tier 2,24,27299,93585.0,48573,True,17735,8867,3547,5321
19,27,110259,52533,education,325939,4,medium,"fd,real_estate",married,1,business,none,Tier 1,33,26834,592335.0,57726,True,6790,3395,1358,2037
20,49,168048,85923,car,1210208,2,medium,"mutual_funds,gold",married,0,self-employed,beginner,Tier 3,11,71842,2285000.0,82125,True,50425,25212,10085,15128
21,34,70016,35475,wedding,951269,5,medium,"mutual_funds,fd",married,0,salaried,none,Tier 3,26,8748,4472880.0,34541,True,15854,7927,3170,4757
22,45,180838,82986,car,461087,5,low,"gold,real_estate",single,3,business,beginner,Tier 3,15,73840,1546176.0,97852,True,7684,2305,2305,3074
23,33,67733,43600,car,816880,2,medium,"stocks,fd",married,0,self-employed,beginner,Tier 3,27,98264,863168.0,24133,True,24133,12066,4826,7241
24,23,127859,53447,retirement,8674719,10,medium,"stocks,mutual_funds",married,0,salaried,none,Tier 2,37,51717,1611729.0,74412,True,72289,36144,14457,21688
25,47,172381,83556,education,1419043,5,medium,"fd,gold",single,2,salaried,none,Tier 2,13,17688,,88825,True,23650,11825,4730,7095
26,45,121308,75369,car,1383237,3,low,"fd,stocks",married,2,salaried,beginner,Tier 2,15,85623,1454104.0,45939,True,38423,11526,11526,15371
27,27,66663,27616,car,711955,5,high,"real_estate,stocks",single,2,self-employed,expert,Tier 1,33,77082,960681.0,39047,True,11865,8305,1186,2374
28,24,157483,98554,wedding,714835,3,low,"gold,real_estate",married,0,business,expert,Tier 3,36,88879,121295.0,58929,True,19856,5956,5956,7944
29,39,26111,11701,education,1356731,3,high,"mutual_funds,fd",married,0,self-employed,expert,Tier 1,21,52254,1906926.0,14410,True,14410,10087,1441,2882
30,51,45306,21746,education,945263,4,medium,"mutual_funds,stocks",married,3,self-employed,none,Tier 2,9,21371,1569163.0,23560,True,19692,9846,3938,5908
31,23,177688,76865,retirement,18487428,14,high,"real_estate,gold",married,3,business,none,Tier 2,37,66434,4942680.0,100823,True,100823,70576,10082,20165
32,56,188714,123434,retirement,9041495,29,low,"fd,mutual_funds",married,2,business,none,Tier 2,4,37711,841971.0,65280,True,25981,7794,7794,10393
33,59,199423,122096,bike,186063,2,medium,"mutual_funds,real_estate",single,0,self-employed,expert,Tier 2,1,87018,4377576.0,77327,True,7752,3876,1550,2326
34,50,193047,97851,wedding,1626081,4,low,"stocks,mutual_funds",single,2,business,expert,Tier 3,10,66135,1410828.0,95196,True,33876,10162,10162,13552
35,57,105272,42774,wedding,1536685,3,low,"fd,real_estate",single,3,self-employed,expert,Tier 3,3,8987,178391.0,62498,True,42685,12805,12805,17075
36,28,101416,51501,retirement,17936751,21,medium,"fd,mutual_funds",single,2,business,beginner,Tier 3,32,45818,2033509.0,49915,True,49915,24957,9983,14975
37,51,62333,33509,retirement,9105525,17,low,"fd,stocks",married,2,salaried,beginner,Tier 3,9,35746,2064484.0,28824,True,28824,8647,8647,11530
38,51,112888,67949,wedding,1918175,3,low,"gold,fd",married,0,salaried,intermediate,Tier 3,9,98179,4974207.0,44939,True,44939,13481,13481,17977
39,40,117946,78905,wedding,1130271,3,low,"real_estate,stocks",single,3,salaried,intermediate,Tier 2,20,23589,3501356.0,39041,True,31396,9418,9418,12560
40,27,193274,127889,car,811927,2,medium,"stocks,real_estate",married,0,self-employed,none,Tier 2,33,5301,,65385,True,33830,16915,6766,10149
41,56,139019,69934,car,668246,2,medium,"mutual_funds,gold",married,3,business,intermediate,Tier 1,4,90314,739944.0,69085,True,27843,13921,5568,8354
42,52,169165,108876,education,1317703,4,high,"real_estate,fd",married,3,self-employed,none,Tier 3,8,77991,1155534.0,60289,True,27452,19216,2745,5491
43,48,25729,18192,bike,165864,1,low,"stocks,fd",single,1,self-employed,expert,Tier 1,12,59748,,7537,True,7537,2261,2261,3015
44,47,197065,138630,education,964076,6,low,"gold,real_estate",single,1,business,none,Tier 2,13,94912,4092787.0,58435,True,13389,4016,4016,5357
45,41,17368,7378,retirement,19722573,21,high,"mutual_funds,gold",single,2,business,intermediate,Tier 1,19,60766,1222622.0,9990,True,9990,6993,999,1998
46,49,47097,20387,car,1066326,4,medium,"mutual_funds,stocks",single,1,business,expert,Tier 1,11,98848,3248649.0,26710,True,22215,11107,4443,6665
47,43,70609,49506,education,1379600,6,medium,"gold,fd",single,1,salaried,intermediate,Tier 1,17,58006,3553157.0,21103,True,19161,9580,3832,5749
48,58,128632,88724,retirement,3449395,24,low,"fd,stocks",married,2,self-employed,none,Tier 3,2,44734,3429569.0,39908,True,11977,3593,3593,4791
49,51,101672,54860,bike,88251,2,medium,"real_estate,mutual_funds",single,2,business,none,Tier 3,9,30945,3227945.0,46812,True,3677,1838,735,1104
50,44,147222,94750,bike,134740,1,medium,"mutual_funds,real_estate",married,1,business,beginner,Tier 1,16,99841,853328.0,52472,True,11228,5614,2245,3369
